ID,Country,PA_Days,VA_Weekly_Days,VA_Daily_Hours,MIA_Weekly_Days,MIA_Daily_Hours,Sedentary_Daily_Hours,Hours_Slept,Uni_Facilities,Smoking_Habits,Alcohol_Drinks,Fruits,Veg,Fastfood,Sugary_Drinks,Optimism,Relaxedness,Coping,Closeness,University,Year,Gender,BMI,GPA,Campus,Sports_Club
1577,SG,1,2,4.0,4,4.0,4.0,9.0,2,5,0,1,1,1,2,4,2,3,3,NIE,2,M,27.75510204,2.5,1,2
1381,SG,2,0,0.0,0,0.0,12.0,5.0,2,3,0,8,8,8,1,3,1,4,2,NIE,3,F,24.02380867,3.5,1,2
1560,SG,3,0,4.75,0,0.0,5.0,9.0,1,5,0,2,1,1,4,4,4,4,4,NIE,3,M,22.40817899,3.5,1,2
1408,SG,1,0,0.0,0,0.0,10.0,7.0,4,5,0,1,2,3,2,3,2,2,2,NIE,3,M,19.36247266,3.4000000000000004,2,1
1368,SG,4,2,4.0,3,4.0,11.0,10.0,1,5,1,2,2,2,2,5,3,4,4,NIE,1,M,18.37682515,2.9,1,2
1361,SG,3,3,4.0,0,0.0,5.0,9.0,1,5,0,2,2,2,2,3,3,4,3,NIE,1,M,21.5450908,2.9,2,2
1374,SG,0,0,0.0,0,0.0,8.0,7.0,2,5,0,4,1,2,2,3,2,3,2,NIE,1,M,32.56188509,4.0,2,2
1562,SG,5,0,0.0,1,4.0,6.0,8.0,1,5,0,2,1,3,1,3,3,4,4,NIE,4,F,32.88888889,1.9,2,2
1418,SG,2,2,4.0,2,4.0,10.0,7.0,1,5,0,4,1,3,1,4,3,3,4,NIE,4,M,28.40054796,3.5999999999999996,1,1
1409,SG,0,0,0.0,0,0.0,14.5,4.0,1,5,0,1,1,3,6,5,5,3,5,NIE,1,M,18.59113034,,1,1
1476,SG,0,1,3.0,2,1.75,15.25,8.25,1,5,0,1,2,4,2,3,5,1,4,NIE,2,F,16.93703188,3.5,1,1
1451,SG,0,5,2.75,3,2.0,15.25,3.0,1,5,3,6,8,7,4,4,4,3,4,NIE,5,F,33.29864724,2.9,1,2
1555,SG,1,0,0.0,0,0.0,4.0,9.0,1,5,0,2,2,2,4,2,2,3,3,NIE,1,M,21.46915048,3.3,2,2
1362,SG,2,2,4.0,2,4.0,6.0,7.0,2,5,0,1,1,1,2,4,3,3,3,NIE,3,M,20.06920415,3.0,1,2
1386,SG,5,0,0.0,0,0.0,10.0,7.0,2,5,1,3,1,3,2,2,2,3,2,NIE,4,F,19.23356075,3.4000000000000004,2,2
1452,SG,4,0,0.0,0,0.0,7.0,8.0,2,5,2,8,2,2,2,2,3,2,2,NIE,2,F,24.97398543,3.2,1,1
1536,SG,0,0,0.0,0,0.0,14.75,3.0,1,3,0,4,4,4,2,5,4,5,3,NIE,2,M,18.71094925,3.7,2,1
1504,SG,4,3,2.5,3,2.75,13.75,8.75,1,5,0,1,1,3,2,3,3,4,4,NIE,3,F,18.58281579,3.3,2,2
1558,SG,2,0,4.0,0,0.0,12.0,8.0,2,5,1,1,2,2,2,4,4,4,4,NIE,2,M,23.4375,3.9000000000000004,1,2
1349,SG,2,0,0.0,0,0.0,13.75,7.5,2,5,0,1,4,2,1,4,4,4,4,NIE,1,M,20.02884153,2.7,2,2
1444,SG,2,3,4.0,2,3.0,15.25,5.25,1,5,0,2,4,8,2,3,3,3,5,NIE,1,F,20.93663912,,1,1
1539,SG,0,0,0.0,0,0.0,15.25,4.5,1,5,0,1,1,1,2,4,3,4,4,NIE,2,M,23.14814815,3.2,1,2
1499,SG,0,0,0.0,0,0.0,12.0,7.0,2,5,1,4,2,2,3,2,3,4,2,NIE,3,F,28.44095498,2.1,2,2
1424,SG,2,0,0.0,2,0.75,5.0,9.0,1,5,0,1,1,3,3,2,3,4,3,NIE,4,F,19.70553242,2.8,2,1
1538,SG,2,0,0.0,0,0.0,13.25,5.5,1,5,0,1,3,1,2,2,4,3,2,NIE,3,M,19.03114187,2.8,2,1
1461,SG,2,3,2.25,3,2.25,10.0,11.25,1,5,0,3,5,2,6,3,2,3,3,NIE,3,M,21.63331531,,2,1
1460,SG,0,0,0.0,0,0.0,1.0,4.5,1,5,0,2,2,2,2,5,3,4,4,NIE,2,M,23.1206236,3.5999999999999996,2,2
1389,SG,1,0,0.0,2,4.0,7.0,7.0,1,5,1,1,1,2,1,4,3,2,3,NIE,2,M,27.18089991,3.0,2,2
1584,SG,6,0,0.0,4,1.75,15.75,6.25,1,3,4,1,2,3,8,4,4,3,3,NIE,1,M,27.44059917,,2,1
1514,SG,7,7,2.25,7,2.25,13.5,7.75,1,5,0,8,8,2,8,3,3,3,3,NIE,2,M,29.3877551,2.8,1,2
1546,SG,2,2,4.0,0,0.0,12.0,7.0,1,5,0,6,2,1,1,1,1,3,1,NIE,3,M,25.25951557,2.5,1,1
1392,SG,5,0,0.0,0,0.0,5.0,5.0,2,5,1,1,1,3,3,1,1,1,1,NIE,3,F,20.3125,3.0,2,2
1419,SG,1,2,4.0,2,0.0,6.0,9.0,2,5,4,1,1,2,2,3,3,3,3,NIE,1,F,23.05175491,,2,2
1550,SG,3,1,4.0,0,4.0,9.0,7.0,2,5,0,2,4,2,2,4,3,4,4,NIE,3,F,18.81892431,3.5,2,2
1405,SG,0,0,0.0,0,0.0,14.0,6.0,1,5,0,1,3,3,8,3,4,3,3,NIE,1,M,23.03004535,,1,1
1421,SG,2,0,0.0,2,4.0,10.0,7.0,2,5,4,2,2,3,2,4,2,4,3,NIE,2,M,21.71806609,3.8,2,2
1552,SG,0,0,0.0,3,4.0,9.0,11.0,1,5,1,1,4,2,1,3,3,3,3,NIE,2,M,23.83673469,3.4000000000000004,2,2
1556,SG,5,2,4.0,1,4.0,10.0,9.0,1,5,0,2,4,1,2,3,4,4,3,NIE,1,F,21.30394858,3.0,1,2
1399,SG,0,2,4.0,0,0.0,6.0,7.0,2,5,0,1,4,1,1,3,2,3,2,NIE,2,M,20.58966513,3.7,1,2
1398,SG,0,0,0.0,0,0.0,6.0,7.0,2,5,0,1,1,2,2,3,3,4,3,NIE,1,M,32.21175729,4.0,2,1
1365,SG,1,2,4.0,0,0.0,12.0,8.0,2,5,0,3,1,3,4,4,3,4,3,NIE,1,M,19.97440779,3.9000000000000004,1,1
1357,SG,3,0,4.0,0,0.0,9.0,8.0,1,5,0,1,2,4,3,3,3,3,2,NIE,1,M,23.35563691,3.9000000000000004,1,2
1519,SG,0,3,0.0,0,0.0,2.0,8.0,2,5,0,1,1,3,1,2,2,3,4,NIE,1,M,19.13265306,3.5,2,2
1414,SG,3,0,0.0,0,0.0,14.0,8.0,1,5,0,2,8,8,6,2,1,3,4,NIE,1,M,22.64737696,,1,2
1448,SG,2,5,4.0,0,4.75,14.25,7.25,1,5,0,2,1,2,6,5,5,4,4,NIE,1,F,19.95728441,,1,1
1567,SG,1,0,0.0,2,1.25,15.25,10.0,1,5,1,1,1,2,2,3,2,2,2,NIE,2,M,23.25501864,2.3,2,2
1359,SG,0,0,0.0,0,0.0,7.0,7.0,1,5,0,3,2,1,1,3,5,4,4,NIE,4,M,29.74419988,2.8,2,2
1493,SG,5,3,4.0,3,0.0,6.0,8.0,2,5,0,1,1,1,3,2,2,3,1,NIE,4,M,24.72518293,2.6,2,1
1478,SG,4,4,3.25,1,1.75,10.0,7.75,1,5,0,3,2,3,2,1,4,3,1,NIE,3,F,24.609375,3.5999999999999996,1,2
1530,SG,2,2,2.0,2,4.0,9.25,2.25,1,5,0,1,5,8,1,2,2,5,2,NIE,2,M,30.77870114,,1,1
1545,SG,2,3,0.0,0,0.0,4.0,7.0,1,5,1,1,1,3,2,3,2,3,3,NIE,3,F,21.09619051,2.8,2,2
1580,SG,1,3,1.25,2,2.0,14.25,3.5,1,5,4,1,1,3,6,2,3,3,4,NIE,1,F,19.22768787,,2,2
1403,SG,0,0,0.0,0,0.0,10.0,9.0,2,5,5,2,1,2,1,2,5,2,1,NIE,2,M,19.23947488,3.2,2,2
1511,SG,2,1,2.75,2,2.0,13.25,4.75,1,5,0,2,1,8,6,3,3,4,2,NIE,1,M,24.61810377,,2,2
1395,SG,2,0,4.75,0,0.0,5.0,7.0,1,5,0,1,1,1,4,3,3,3,3,NIE,4,F,19.00390835,3.0,1,2
6170,MY,7,0,0.0,6,3.75,3.0,4.75,1,5,0,8,7,2,1,1,1,1,1,UPM,5,F,28.04281659,3.8,1,1
6149,MY,2,2,5.0,2,2.75,2.25,3.0,1,5,0,7,6,3,2,5,3,5,4,UPM,5,M,22.86236854,3.1,2,1
6118,MY,2,2,1.75,3,4.0,6.25,4.0,1,4,0,5,6,4,3,3,4,3,2,UPM,4,F,34.08660523,3.7,1,1
6117,MY,0,0,0.0,1,2.0,5.5,2.75,1,4,0,2,1,2,4,4,4,4,4,UPM,5,F,18.92915089,,2,1
6209,MY,2,0,0.0,2,2.25,5.25,3.0,1,5,0,1,2,2,4,3,4,4,4,UPM,5,M,16.796875,,2,1
6264,MY,6,4,3.0,2,5.0,9.25,1.75,3,5,0,3,2,1,1,4,4,5,3,UM,5,M,22.65625,3.7,1,1
6226,MY,2,0,0.0,3,2.25,4.25,4.0,1,5,0,2,2,3,1,3,2,3,3,UPM,5,M,30.66666667,,1,1
6305,MY,5,0,0.0,5,3.75,6.25,3.0,1,2,7,4,4,2,1,1,1,2,2,UM,4,M,27.34375,3.8,2,1
6220,MY,1,0,0.0,4,2.25,14.5,6.0,1,5,0,6,8,3,1,2,2,2,3,UPM,4,M,20.613131,3.6,1,1
6088,MY,1,0,0.0,1,2.75,14.25,5.5,1,5,0,4,8,1,3,4,3,5,4,UPM,3,F,23.30668005,,1,1
