ID,Country,PA_Days,VA_Weekly_Days,VA_Daily_Hours,MIA_Weekly_Days,MIA_Daily_Hours,Sedentary_Daily_Hours,Hours_Slept,Uni_Facilities,Smoking_Habits,Alcohol_Drinks,Fruits,Veg,Fastfood,Sugary_Drinks,Optimism,Relaxedness,Coping,Closeness,University,Year,Gender,BMI,GPA,Campus,Sports_Club
1577,Singapore,1,2,4,4,4,4,9,2,5,0,1,1,1,2,4,2,3,3,NTU Singapore - National Institute of Education,2,1,27.75510204,3.5,1,2
1381,Singapore,2,0,0,0,0,12,5,2,3,0,8,8,8,1,3,1,4,2,NTU Singapore - National Institute of Education,3,2,24.02380867,4.5,1,2
1413,Singapore,2,1,2.75,1,3,15.25,9.5,1,5,0,3,5,3,8,4,5,4,2,NTU Singapore - National Institute of Education,1,1,NA,NA,2,2
1560,Singapore,3,0,4.75,0,0,5,9,1,5,0,2,1,1,4,4,4,4,4,NTU Singapore - National Institute of Education,3,1,22.40817899,4.5,1,2
1475,Singapore,6,5,2.5,4,1.75,13.25,3.25,1,5,0,1,1,8,6,4,4,3,3,NTU Singapore - National Institute of Education,3,2,NA,NA,2,1
1510,Singapore,4,5,3.25,5,4,12.25,5.5,1,5,0,3,2,5,1,3,4,3,2,NTU Singapore - National Institute of Education,2,1,0,5.0,1,1
1471,Singapore,5,0,0,0,0,9.25,9.5,1,5,0,1,3,3,1,3,4,3,2,NTU Singapore - National Institute of Education,4,1,NA,NA,2,2
1408,Singapore,1,0,0,0,0,10,7,4,5,0,1,2,3,2,3,2,2,2,NTU Singapore - National Institute of Education,3,1,19.36247266,4.4,2,1
1368,Singapore,4,2,4,3,4,11,10,1,5,1,2,2,2,2,5,3,4,4,NTU Singapore - National Institute of Education,1,1,18.37682515,3.9,1,2
1361,Singapore,3,3,4,0,0,5,9,1,5,0,2,2,2,2,3,3,4,3,NTU Singapore - National Institute of Education,1,1,21.5450908,3.9,2,2
1374,Singapore,0,0,0,0,0,8,7,2,5,0,4,1,2,2,3,2,3,2,NTU Singapore - National Institute of Education,1,1,32.56188509,5.0,2,2
1562,Singapore,5,0,0,1,4,6,8,1,5,0,2,1,3,1,3,3,4,4,NTU Singapore - National Institute of Education,4,2,32.88888889,2.9,2,2
1418,Singapore,2,2,4,2,4,10,7,1,5,0,4,1,3,1,4,3,3,4,NTU Singapore - National Institute of Education,4,1,28.40054796,4.6,1,1
1517,Singapore,2,0,0,0,0,14.75,4,1,4,0,2,3,3,6,4,4,3,3,NTU Singapore - National Institute of Education,1,1,NA,NA,2,1
1345,Singapore,1,0,0,0,0,13.25,3,3,5,0,1,3,3,2,3,3,3,4,NTU Singapore - National Institute of Education,3,1,NA,NA,1,1
1595,Singapore,3,3,2.5,3,3,13.25,3,1,5,0,1,2,3,6,3,4,3,4,NTU Singapore - National Institute of Education,1,2,NA,NA,2,2
1409,Singapore,0,0,0,0,0,14.5,4,1,5,0,1,1,3,6,5,5,3,5,NTU Singapore - National Institute of Education,1,1,18.59113034,NA,1,1
1476,Singapore,0,1,3,2,1.75,15.25,8.25,1,5,0,1,2,4,2,3,5,1,4,NTU Singapore - National Institute of Education,2,2,16.93703188,4.5,1,1
1451,Singapore,0,5,2.75,3,2,15.25,3,1,5,3,6,8,7,4,4,4,3,4,NTU Singapore - National Institute of Education,5,2,33.29864724,3.9,1,2
1555,Singapore,1,0,0,0,0,4,9,1,5,0,2,2,2,4,2,2,3,3,NTU Singapore - National Institute of Education,1,1,21.46915048,4.3,2,2
1362,Singapore,2,2,4,2,4,6,7,2,5,0,1,1,1,2,4,3,3,3,NTU Singapore - National Institute of Education,3,1,20.06920415,4.0,1,2
1386,Singapore,5,0,0,0,0,10,7,2,5,1,3,1,3,2,2,2,3,2,NTU Singapore - National Institute of Education,4,2,19.23356075,4.4,2,2
1452,Singapore,4,0,0,0,0,7,8,2,5,2,8,2,2,2,2,3,2,2,NTU Singapore - National Institute of Education,2,2,24.97398543,4.2,1,1
1520,Singapore,3,0,0,0,0,13.25,2,1,5,0,4,3,8,6,1,3,3,4,NTU Singapore - National Institute of Education,3,1,NA,NA,1,1
1536,Singapore,0,0,0,0,0,14.75,3,1,3,0,4,4,4,2,5,4,5,3,NTU Singapore - National Institute of Education,2,1,18.71094925,4.7,2,1
1572,Singapore,1,0,0,1,1.25,14.75,6,1,5,0,1,5,8,1,4,4,4,4,NTU Singapore - National Institute of Education,1,1,NA,NA,2,1
1348,Singapore,2,2,3.75,7,2,3.25,8,1,5,0,1,2,3,2,2,1,1,2,NTU Singapore - National Institute of Education,1,1,NA,NA,2,1
1504,Singapore,4,3,2.5,3,2.75,13.75,8.75,1,5,0,1,1,3,2,3,3,4,4,NTU Singapore - National Institute of Education,3,2,18.58281579,4.3,2,2
1558,Singapore,2,0,4,0,0,12,8,2,5,1,1,2,2,2,4,4,4,4,NTU Singapore - National Institute of Education,2,1,23.4375,4.9,1,2
1349,Singapore,2,0,0,0,0,13.75,7.5,2,5,0,1,4,2,1,4,4,4,4,NTU Singapore - National Institute of Education,1,1,20.02884153,3.7,2,2
1444,Singapore,2,3,4,2,3,15.25,5.25,1,5,0,2,4,8,2,3,3,3,5,NTU Singapore - National Institute of Education,1,2,20.93663912,NA,1,1
1497,Singapore,4,5,2.5,2,1.75,12.25,3.25,1,5,0,4,3,8,6,5,4,4,4,NTU Singapore - National Institute of Education,3,1,NA,NA,2,1
1539,Singapore,0,0,0,0,0,15.25,4.5,1,5,0,1,1,1,2,4,3,4,4,NTU Singapore - National Institute of Education,2,1,23.14814815,4.2,1,2
